Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc
3045202004420006,3,4,52,2,442,6,0,,,,,,,,,,,,,,,
22015103006770002,22,1,51,3,677,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3035101018440002,3,3,51,1,1844,2,0,,,,,,,,,,,,,,,
10045001116610005,10,4,50,1,11661,5,0,,,,,,,,,,,,,,,
17025401125540007,17,2,54,1,12554,7,0,,,,,,,,,,,,,,,
21045402036050007,21,4,54,2,3605,7,0,,,,,,,,,,,,,,,
12025002133060012,12,2,50,2,13306,12,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17015001157200002,17,1,50,1,15720,2,0,,,,,,,,,,,,,,,
5015201165410010,5,1,52,1,16541,10,0,,,,,,,,,,,,,,,
6016001025200010,6,1,60,1,2520,10,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12085002092560007,12,8,50,2,9256,7,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6035001070130002,6,3,50,1,7013,2,0,,,,,,,,,,,,,,,
6035201081990001,6,3,52,1,8199,1,0,,,,,,,,,,,,,,,
13155002165630006,13,15,50,2,16563,6,0,,,,,,,,,,,,,,,
9085002012920006,9,8,50,2,1292,6,0,,,,,,,,,,,,,,,
1155003005410003,1,15,50,3,541,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
