identificador,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr
1016504000650004,0,0,,0.0,0,0,0,0.0
1016504000650005,0,0,,,0,0,0,
1016601050840001,0,0,0.0,0.0,0,0,0,0.0
1016601050840002,0,0,0.0,0.0,0,0,0,0.0
1016601050840003,0,0,0.0,0.0,0,0,0,0.0
1016601050840004,0,0,0.0,0.0,0,0,0,0.0
1016601050840005,0,0,,0.0,0,0,0,0.0
1016601050840006,0,0,,,0,0,0,
1016601050840007,0,0,0.0,0.0,0,0,0,0.0
1016601050840008,0,0,0.0,0.0,0,0,0,0.0
1016601050840009,0,0,0.0,0.0,0,0,0,0.0
1016601050840010,0,0,,0.0,0,0,0,0.0
1016601050840012,0,0,0.0,0.0,0,0,0,0.0
1016601050840013,0,0,,,0,0,0,
1016601050840014,0,0,0.0,0.0,0,0,0,0.0
1016601050840015,0,0,,,0,0,0,
1016601052890002,0,0,0.0,0.0,0,0,0,0.0
1016601052890007,0,0,0.0,0.0,0,0,0,0.0
1016601052890009,0,0,,0.0,0,0,0,0.0
1016601052890011,0,0,0.0,0.0,0,0,0,0.0
1016601052890013,0,0,,0.0,0,0,0,0.0
1016601052890014,0,0,0.0,0.0,0,0,0,0.0
1016601052890015,0,0,,0.0,0,0,0,0.0
1016601052890016,0,0,0.0,0.0,0,0,0,0.0
1016601052890017,0,0,0.0,0.0,0,0,0,0.0
1016601052890018,0,0,0.0,0.0,0,0,0,0.0
1016601052890019,0,0,,0.0,0,0,0,0.0
1016601052890020,0,0,0.0,0.0,0,0,0,0.0
1016601052890021,0,0,0.0,0.0,0,0,0,0.0
1016601052890022,0,0,,0.0,0,0,0,0.0
1016601052890025,0,0,1.0,0.0,0,0,0,0.0
1016601052890029,0,0,0.0,0.0,0,0,0,0.0
1016801107240001,0,0,1.0,0.0,0,0,0,0.0
1016801107240002,0,0,,0.0,0,0,0,0.0
1016801107240003,0,0,0.0,0.0,0,0,0,0.0
1016801107240004,0,0,,,0,0,0,
1016801107240005,0,0,,,0,0,0,
1016801107240006,0,0,1.0,0.0,0,0,0,0.0
1016801107240007,0,0,,,0,0,0,
1016801111840002,0,0,,0.0,0,0,0,0.0
1016801111840003,0,0,,,0,0,0,
1016801111950001,0,0,0.0,0.0,0,0,0,0.0
1016801111950002,0,0,0.0,0.0,0,0,0,0.0
1016801111950003,0,0,0.0,0.0,0,0,0,0.0
1016801111950004,0,0,,,0,0,0,
1016801111950005,0,0,,0.0,0,0,0,0.0
1016801111950008,0,0,0.0,0.0,0,0,0,0.0
1016801111950009,0,0,,0.0,0,0,0,0.0
1016801111950010,0,0,1.0,0.0,0,0,0,0.0
1016801113470001,0,0,0.0,0.0,0,0,0,0.0
1016801114310001,0,0,,,0,0,0,
1016801114310002,0,0,,,0,0,0,
1016801114310004,0,0,,,0,0,0,
1016801114310005,0,0,,,0,0,0,
1016801114310006,0,0,0.0,0.0,0,0,0,0.0
1016801114310008,0,0,,0.0,0,0,0,0.0
1016801114310009,0,0,0.0,0.0,0,0,0,0.0
1016801114310011,0,0,0.0,0.0,0,0,0,0.0
1016801114310012,0,0,0.0,0.0,0,0,0,0.0
1016801114310013,0,0,,0.0,0,0,0,0.0
1016801119000001,0,0,,0.0,0,0,0,0.0
1016801119000002,0,0,,,0,0,0,
1016801119000004,0,0,0.0,0.0,0,0,0,0.0
1016801119000005,0,0,0.0,0.0,0,0,0,0.0
1016801119000006,0,0,,,0,0,0,
1016801119000007,0,0,,0.0,0,0,0,0.0
1016801119000008,0,0,,0.0,0,0,0,0.0
1016801119000009,0,0,0.0,0.0,0,0,0,0.0
1016801119000010,0,0,,0.0,0,0,0,0.0
1016801119000011,0,0,0.0,0.0,0,0,0,0.0
1016801119000012,0,0,,,0,0,0,
1016801119000013,0,0,,,0,0,0,
1016801119000014,0,0,0.0,0.0,0,0,0,0.0
1016801119000015,0,0,,,0,0,0,
1016801119000016,0,0,,,0,0,0,
1016801119000017,0,0,,,0,0,0,
1016801119000018,0,0,,0.0,0,0,0,0.0
1016801119000019,0,0,0.0,0.0,0,0,0,0.0
1016801119000020,0,0,,0.0,0,0,0,0.0
1016801120220001,0,0,,,0,0,0,
1016801120220002,0,0,,,0,0,0,
1016801120220007,0,0,,,0,0,0,
1016801120220009,0,0,,,0,0,0,
1016801120220012,0,0,,0.0,0,0,0,0.0
1016801120220014,0,0,,,0,0,0,
1016801120220018,0,0,,,0,0,0,
1016801120220019,0,0,,,0,0,0,
1016801120980001,0,0,,,0,0,0,
1016801120980002,0,0,,,0,0,0,
1016801120980003,0,0,,,0,0,0,
1016801122660002,0,0,,0.0,0,0,0,0.0
