Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin
1016001084070013,1,1,60,1,8407,13,.5,2,1,1,2,1,1,,,,,,,1,,,4,89.7457788998817
1016001084070014,1,1,60,1,8407,14,.43,1,1,,1,1,,,,,,,,1,,,4,48.5358651498902
1016001084070015,1,1,60,1,8407,15,.4,1,1,,1,1,,,,,,,,1,,,4,161.850629768246
1016001084070017,1,1,60,1,8407,17,1.56,1,1,,1,1,,,,,,,,1,,,4,31.5740452315672
1016001084070018,1,1,60,1,8407,18,.33,1,1,,1,1,,,,,,,,1,,,4,92.2836565980713
1016001084070019,1,1,60,1,8407,19,.81,1,1,,1,1,,,,,,,,1,,,4,111.820616839006
1016001084070023,1,1,60,1,8407,23,.22,1,1,,1,1,,,,,,,,1,,,4,44.1751916349326
1016101119110001,1,1,61,1,11911,1,.75,2,2,,1,1,,,,,1,1,,1,,,4,74.6428353030727
1016101119110002,1,1,61,1,11911,2,.22,3,2,1,2,1,1,,,,1,1,,1,,,4,50.4212840358092
1016101119110003,1,1,61,1,11911,3,.25,1,,1,1,,1,,,,,,,1,,,4,18.119255063671
1016101119110004,1,1,61,1,11911,4,.35,1,,1,1,,1,,,,,,,1,,,4,17.8836390204592
1016101119110005,1,1,61,1,11911,5,2.29,2,,2,2,,2,,,,,,,1,,,4,14.3756528469836
1016101119110006,1,1,61,1,11911,6,.25,1,,1,1,,1,,,,,,,1,,,4,21.6932087100088
1016101119110007,1,1,61,1,11911,7,2.51,5,2,3,5,2,3,,,,,,,1,,,4,78.3258941250201
1016101119110009,1,1,61,1,11911,9,3.83,1,1,,1,1,,,,,,,,1,,,4,51.3996500550785
1016101119110010,1,1,61,1,11911,10,14.07,4,2,2,4,2,2,,,,,,,1,,,4,3.52820913096168
1016101120040001,1,1,61,1,12004,1,1,2,1,1,2,1,1,,,,,,,1,,,4,1.38924108183416
1016101120040002,1,1,61,1,12004,2,2.5,4,1,3,4,1,3,,,,,,,1,,,4,43.793391611602
1016101120040003,1,1,61,1,12004,3,4.2,3,1,2,3,1,2,,,,,,,1,,,4,54.9590393263782
1016101120040004,1,1,61,1,12004,4,4,1,,1,1,,1,,,,,,,1,,,4,60.4189542317919
1016101120040005,1,1,61,1,12004,5,1,2,1,1,2,1,1,,,,,,,1,,,4,7.61176752782937
1016101123650001,1,1,61,1,12365,1,.73,4,2,2,4,2,2,,,,,,,1,,,4,40.3189824329479
1016101123650002,1,1,61,1,12365,2,7.18,3,1,2,3,1,2,,,,,,,1,,,4,20.1150098810535
1016101123650003,1,1,61,1,12365,3,1.89,3,2,1,3,2,1,,,,,,,1,,,4,41.9380527199121
1016101123650005,1,1,61,1,12365,5,.15,3,2,1,3,2,1,,,,,,,1,,,4,114.486694357955
1016101123650006,1,1,61,1,12365,6,4.43,5,2,3,5,2,3,,,,,,,1,,,4,19.7078479380175
1016101123650007,1,1,61,1,12365,7,42.75,4,2,2,1,1,,3,1,2,,,,1,,,4,2.87759550508037
1016101130920001,1,1,61,1,13092,1,6.5,2,1,1,2,1,1,,,,,,,1,,,4,29.8002599481992
1016101130920002,1,1,61,1,13092,2,2.5,3,1,2,3,1,2,,,,,,,1,,,4,33.3130200721009
1016101130920003,1,1,61,1,13092,3,3.8,2,,2,2,,2,,,,,,,1,,,4,62.85262604545
1016101130920004,1,1,61,1,13092,4,3.55,2,1,1,2,1,1,,,,,,,1,,,4,21.5243110328165
1016101137350001,1,1,61,1,13735,1,3.5,2,1,1,2,1,1,,,,,,,1,,,4,68.4014448577946
1016101137350002,1,1,61,1,13735,2,2.1,2,1,1,2,1,1,,,,,,,1,,,4,35.4550664420657
1016101137350003,1,1,61,1,13735,3,.5,1,,1,1,,1,,,,,,,1,,,4,2.42222924066865
1016101137350004,1,1,61,1,13735,4,6,7,5,2,7,5,2,,,,,,,1,,,4,13.872450553567
1016101137350005,1,1,61,1,13735,5,6,6,2,4,6,2,4,,,,,,,1,,,4,31.6558873357673
1016101137400001,1,1,61,1,13740,1,.65,2,1,1,2,1,1,,,,,,,1,,,4,51.4287639131506
1016101137400002,1,1,61,1,13740,2,.2,1,1,,1,1,,,,,,,,1,,,4,89.8584380306292
1016101137400003,1,1,61,1,13740,3,.1,2,,2,2,,2,,,,,,,1,,,4,64.1373370948749
1016101137400004,1,1,61,1,13740,4,.9,6,3,3,6,3,3,,,,,,,1,,,4,81.8755178991779
1016101137400005,1,1,61,1,13740,5,3.86,4,2,2,4,2,2,,,,,,,1,,,4,32.4641714867964
