Identificador;ual_prov;ual_cant;ual_parr;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_tn;fact_exp_fin
01015703002230013;01;01;57;03;00223;0013;8,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;80,923736539401
01015703002230014;01;01;57;03;00223;0014;7;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;62,0858710575622
01015703002230015;01;01;57;03;00223;0015;10,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;27,2670002048215
01015703002230016;01;01;57;03;00223;0016;91,3;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;18,0452481849297
01015703002230017;01;01;57;03;00223;0017;11,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;26,8131256247531
01015703002230018;01;01;57;03;00223;0018;1;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;74,3180139265836
01015754000994062;01;01;57;54;00099;4062;12;5;4;1;3;2;1; ; ; ;2;2; ;1; ; ;4;1
01015754000994070;01;01;57;54;00099;4070;32,5;3;3; ;1;1; ; ; ; ;2;2; ;1; ; ;4;1
01015754000994106;01;01;57;54;00099;4106;10;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;1
01015801070830001;01;01;58;01;07083;0001;,55;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;40,8732691962044
01015801070830002;01;01;58;01;07083;0002;,35;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;66,1406005539401
01015801070830004;01;01;58;01;07083;0004;1,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;67,9304519737201
01015801070830005;01;01;58;01;07083;0005;,45;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;19,9281994781556
01015801070830010;01;01;58;01;07083;0010;1;3;2;1;3;2;1; ; ; ; ; ; ;1; ; ;4;61,3426518240677
01015801071650001;01;01;58;01;07165;0001;,3;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;7,68439003596913
01015801071650002;01;01;58;01;07165;0002;,15;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;16,5103266592128
01015801071650003;01;01;58;01;07165;0003;2;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;30,6164152513903
01015801071650004;01;01;58;01;07165;0004;,05;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;124,42273959799
01015801071650008;01;01;58;01;07165;0008;,1;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;66,4394568291015
01015801071650010;01;01;58;01;07165;0010;5;4;2;2;2;1;1;2;1;1; ; ; ;1; ; ;4;30,5612685024161
01015801071650012;01;01;58;01;07165;0012;1,52;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;65,6152685686595
01015801071650014;01;01;58;01;07165;0014;,5;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;53,5630378394401
01015801071650015;01;01;58;01;07165;0015;,05;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;129,513216168412
01015801071650017;01;01;58;01;07165;0017;3;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;33,4311250284365
01015801071650018;01;01;58;01;07165;0018;,24;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;33,6690759210321
01015801071650020;01;01;58;01;07165;0020;,2;1;0;1;1;0;1; ; ; ; ; ; ;1; ; ;4;43,8382837154559
01015801077640001;01;01;58;01;07764;0001;3,29;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;45,8794591566272
01015801077640002;01;01;58;01;07764;0002;1,07;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;68,7353856006892
01015801077640004;01;01;58;01;07764;0004;,61;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;83,9061761526215
01015801077640005;01;01;58;01;07764;0005;,88;4;2;2;4;2;2; ; ; ; ; ; ;1; ; ;4;78,30808965469
01015801077640006;01;01;58;01;07764;0006;12,02;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;13,6013357639547
01015801078400001;01;01;58;01;07840;0001;7,39;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;58,4948067472553
01015801078400002;01;01;58;01;07840;0002;2,28;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;28,2703527095392
01015801078400003;01;01;58;01;07840;0003;12,02;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;8,35495879701974
01015864000991217;01;01;58;64;00099;1217;,2;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;1
01015901037520003;01;01;59;01;03752;0003;1,67;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;76,5044207662652
01015901037520004;01;01;59;01;03752;0004;6,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;30,6598814471363
01015901037520005;01;01;59;01;03752;0005;1;4;3;1;4;3;1; ; ; ; ; ; ;1; ; ;4;3,66802695747627
01015901037520006;01;01;59;01;03752;0006;1;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;86,023764665629
01015901037520007;01;01;59;01;03752;0007;2;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;41,2859029563495
01015901037520008;01;01;59;01;03752;0008;1,41;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;1,15113597747712
01015901037980001;01;01;59;01;03798;0001;2,5;3;2;1;3;2;1; ; ; ; ; ; ;1; ; ;4;35,7635885802543
01015901037980002;01;01;59;01;03798;0002;1;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;53,7036190702104
01015901037980003;01;01;59;01;03798;0003;1,39;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;37,3468326423484
01015901037980004;01;01;59;01;03798;0004;1,55;3;1;2;3;1;2; ; ; ; ; ; ;1; ; ;4;60,0221422216988
01015901037980005;01;01;59;01;03798;0005;,07;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;53,6945475746296
01015901037980006;01;01;59;01;03798;0006;1,7;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;21,6839878338409
01015901037980007;01;01;59;01;03798;0007;,4;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;104,804496548256
01015901037980008;01;01;59;01;03798;0008;,43;2;1;1;1; ;1; ; ; ;1;1; ;1; ; ;4;2,62705447960047
01015901037980009;01;01;59;01;03798;0009;1,01;4;2;2;3;1;2;1;1; ; ; ; ;1; ; ;4;14,3497237642289
01015901037980010;01;01;59;01;03798;0010;,35;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;87,3246534925838
01015901037980011;01;01;59;01;03798;0011;,47;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;83,8157535463658
01015901037980012;01;01;59;01;03798;0012;,8;2;2; ;2;2; ; ; ; ; ; ; ;1; ; ;4;32,9376878525549
01015901037980013;01;01;59;01;03798;0013;1,15;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;44,5380346323078
01015901037980014;01;01;59;01;03798;0014;1,5;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;27,4699166681
01015901037980015;01;01;59;01;03798;0015;,24;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;36,0435552741455
01015901043600001;01;01;59;01;04360;0001;2,7;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;23,6597405033414
01015901043600004;01;01;59;01;04360;0004;1,44;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;76,2529718984844
01015901043600005;01;01;59;01;04360;0005;1,9;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;61,7706293906089
01015901047250001;01;01;59;01;04725;0001;,5;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;26,2186546480933
01015901047250002;01;01;59;01;04725;0002;1,16;4;3;1;2;1;1; ; ; ;2;2; ;1; ; ;4;60,5983371282598
01015901047250003;01;01;59;01;04725;0003;,33;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;57,5851071575332
01015901047250009;01;01;59;01;04725;0009;4,71;3;2;1;2;1;1;1;1; ; ; ; ;1; ; ;4;29,7648429875342
01015901047250010;01;01;59;01;04725;0010;2,33;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;92,6641968648741
01016001074860001;01;01;60;01;07486;0001;,12;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;192,248738956144
01016001074860002;01;01;60;01;07486;0002;,464;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;56,0906529534514
01016001074860003;01;01;60;01;07486;0003;,04;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;68,5272571722316
01016001074860006;01;01;60;01;07486;0006;,13;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;69,904687265082
01016001074860007;01;01;60;01;07486;0007;,338;6;4;2;6;4;2; ; ; ; ; ; ;1; ; ;4;134,469084865496
01016001074860008;01;01;60;01;07486;0008;2,52;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;16,6395623782305
01016001074860009;01;01;60;01;07486;0009;,08;5;3;2;5;3;2; ; ; ; ; ; ;1; ; ;4;21,4159913758353
01016001080970001;01;01;60;01;08097;0001;,7;4;2;2;4;2;2; ; ; ; ; ; ;1; ; ;4;30,9153239930841
01016001080970003;01;01;60;01;08097;0003;,54;3;2;1;3;2;1; ; ; ; ; ; ;1; ; ;4;162,681480235876
01016001080970005;01;01;60;01;08097;0005;,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;36,8471244870184
01016001080970006;01;01;60;01;08097;0006;,51;4;2;2;4;2;2; ; ; ; ; ; ;1; ; ;4;46,5617865275611
01016001080970007;01;01;60;01;08097;0007;,6;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;9,4945949546983
01016001081820003;01;01;60;01;08182;0003;17,53;10;7;3;4;2;2;1; ;1;5;5; ;1; ; ;4;1,1186855515717
01016001083850001;01;01;60;01;08385;0001;17,53;5;3;2;4;3;1;1; ;1; ; ; ;1; ; ;4;13,7474476270709
01016001083850002;01;01;60;01;08385;0002;2;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;20,1936187488087
01016001083850003;01;01;60;01;08385;0003;,5;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;8,17939422830403
01016001083850004;01;01;60;01;08385;0004;,32;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;90,7901786371795
01016001083850007;01;01;60;01;08385;0007;3;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;51,6138809813987
01016001083850008;01;01;60;01;08385;0008;1;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;75,9960451836836
01016001084070003;01;01;60;01;08407;0003;1,35;3;3; ;2;2; ; ; ; ;1;1; ;1; ; ;4;17,4091679493363
01016001084070007;01;01;60;01;08407;0007;,47;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;48,4151508177213
01016001084070009;01;01;60;01;08407;0009;,25;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;73,0598282525118
01016001084070011;01;01;60;01;08407;0011;,15;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;117,042543968955
01016001084070013;01;01;60;01;08407;0013;,5;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;89,7457788998817
01016001084070014;01;01;60;01;08407;0014;,43;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;48,5358651498902
01016001084070015;01;01;60;01;08407;0015;,4;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;161,850629768246
